id,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22
Balcones de santa maria," $512,000.00 "," $512,000.00 "," $541,000.00 "," $512,000.00 "," $536,000.00 "," $488,000.00 "," $488,000.00 "," $512,000.00 "," $512,000.00 "," $488,000.00 "," $488,000.00 "," $512,000.00 "," $472,000.00 "," $472,000.00 "," $472,000.00 "," $472,000.00 "," $472,000.00 "," $649,000.00 "," $830,000.00 "
Las conchas," $850,000.00 "," $860,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,270,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,100,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,100,000.00 "," $1,100,000.00 "," $1,230,000.00 "," $1,370,000.00 "," $1,940,000.00 "," $1,940,000.00 "
El Dean," $1,070,000.00 "," $1,070,000.00 "," $1,070,000.00 "," $1,070,000.00 "," $1,150,000.00 "," $1,150,000.00 "," $1,150,000.00 "," $1,230,000.00 "," $1,230,000.00 "," $1,230,000.00 "," $1,230,000.00 "," $1,230,000.00 "," $1,390,000.00 "," $1,390,000.00 "," $1,390,000.00 "," $1,150,000.00 "," $1,310,000.00 "," $1,630,000.00 "," $1,590,000.00 "
Las huertas," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,180,000.00 "," $1,130,000.00 "," $1,060,000.00 "," $1,060,000.00 "," $1,030,000.00 "," $1,080,000.00 "," $1,080,000.00 "," $1,060,000.00 "," $1,030,000.00 "," $1,010,000.00 "," $984,000.00 "," $1,080,000.00 "
18 de Marzo," $1,230,000.00 "," $1,230,000.00 "," $1,250,000.00 "," $1,250,000.00 "," $1,280,000.00 "," $1,720,000.00 "," $1,830,000.00 "," $1,720,000.00 "," $1,830,000.00 "," $1,790,000.00 "," $1,610,000.00 "," $1,780,000.00 "," $1,780,000.00 "," $1,580,000.00 "," $1,580,000.00 "," $1,550,000.00 "," $1,290,000.00 "," $1,030,000.00 "," $1,030,000.00 "
1o de mayo," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,330,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,380,000.00 "," $1,300,000.00 "," $1,300,000.00 "," $1,210,000.00 "," $1,180,000.00 "," $1,180,000.00 "
Arboledas del sur," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,420,000.00 "," $1,460,000.00 "," $1,510,000.00 "," $1,460,000.00 "," $1,510,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "
San Andres," $1,460,000.00 "," $1,460,000.00 "," $1,470,000.00 "," $1,480,000.00 "," $1,480,000.00 "," $1,470,000.00 "," $1,470,000.00 "," $1,520,000.00 "," $1,590,000.00 "," $1,760,000.00 "," $1,760,000.00 "," $1,680,000.00 "," $1,760,000.00 "," $1,770,000.00 "," $1,770,000.00 "," $1,770,000.00 "," $1,570,000.00 "," $1,590,000.00 "," $1,570,000.00 "
Joaquin Aaron," $1,460,000.00 "," $1,460,000.00 "," $1,460,000.00 "," $1,460,000.00 "," $1,460,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,560,000.00 "," $1,660,000.00 "," $1,660,000.00 "," $1,660,000.00 "," $1,750,000.00 "," $1,440,000.00 "," $1,020,000.00 "," $1,020,000.00 "
Atlas," $1,570,000.00 "," $1,570,000.00 "," $1,570,000.00 "," $1,570,000.00 "," $1,570,000.00 "," $1,570,000.00 "," $1,600,000.00 "," $1,640,000.00 "," $1,660,000.00 "," $1,660,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,600,000.00 "," $1,520,000.00 "," $1,520,000.00 "," $1,520,000.00 "," $1,520,000.00 "," $1,560,000.00 "," $1,560,000.00 "
